"#""hg38.knownGene.name""",hg38.knownGene.strand,hg38.knownGene.exonCount,hg38.knownGene.proteinID,geneSymbol,refseq,description
ENST00000515026.1,+,6,,H2AZ1-DT,,H2AZ1-DT (from geneSymbol)
ENST00000273990.6,-,3,Q96D03,DDIT4L,NM_145244,"Homo sapiens DNA damage inducible transcript 4 like (DDIT4L), mRNA. (from RefSeq NM_145244)"
ENST00000502763.1,-,2,D6RJ99,DDIT4L,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6RJ99)
ENST00000513992.1,-,3,D6RD49,DDIT4L,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6RD49)
ENST00000515782.1,+,5,,DDIT4L-AS1,NR_125924,"Homo sapiens uncharacterized LOC101929353 (LOC101929353), long non-coding RNA. (from RefSeq NR_125924)"
ENST00000296420.9,-,12,Q9ULC0,EMCN,NM_016242,"Homo sapiens endomucin (EMCN), transcript variant 1, mRNA. (from RefSeq NM_016242)"
ENST00000305864.7,-,9,Q9ULC0,EMCN,,"Endothelial sialomucin, also called endomucin or mucin-  like sialoglycoprotein, which interferes with the assembly of  focal adhesion complexes and inhibits interaction between cells  and the extracellular matrix. (from UniProt Q9ULC0)"
ENST00000506300.5,-,5,H0YAA7,EMCN,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt H0YAA7)
ENST00000511970.5,-,11,Q9ULC0,EMCN,NM_001159694,"Homo sapiens endomucin (EMCN), transcript variant 2, mRNA. (from RefSeq NM_001159694)"
ENST00000502569.1,-,6,D6RHW5,EMCN,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6RHW5)
ENST00000652064.1,+,2,,ENSG00000286150,,ENSG00000286150 (from geneSymbol)
ENST00000502327.5,-,6,,EMCN,,endomucin (from HGNC EMCN)
ENST00000512253.5,-,5,,EMCN,,endomucin (from HGNC EMCN)
ENST00000506323.1,-,4,,EMCN,,endomucin (from HGNC EMCN)
ENST00000510657.1,-,6,,EMCN,,endomucin (from HGNC EMCN)
ENST00000502744.1,-,2,,EMCN,,endomucin (from HGNC EMCN)
ENST00000515728.1,-,4,,LINC01216,NR_046811,"Homo sapiens long intergenic non-protein coding RNA 1216 (LINC01216), long non-coding RNA. (from RefSeq NR_046811)"
ENST00000514427.1,-,2,,LINC01217,,long intergenic non-protein coding RNA 1217 (from HGNC LINC01217)
